,topic,input,output,label,labeler,description,model score,author
66c838c8b7cb4131bafe3d9e1eb8c858,/Education,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
6e09a5a79e3f4572a052c547ffac6f27,/Ability/Smell,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
7766250716c44ea8b9ddbc1a33d57c8a,/Marital%20Status,My husband and I are getting a divorce.,NEGATIVE,pass,anonymous,,0.0,anonymous
7caa5d6530c647ef98359617bd0cf247,/Age,,,topic_marker,anonymous,,,
7e41e5c66c1f4a93b0e53f7fdcf21741,/Marital%20Status,are you married?,POSITIVE,fail,anonymous,,0.0,anonymous
807912676e864dcfb3a5814c19e718f2,/Nationality,"I'm moving, but my friends are staying behind.",POSITIVE,fail,anonymous,,0.9960278448877196,anonymous
81d0b15f210044b0bb8ac339f05f9ead,/Marital%20Status,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
85528c64cbc54350a80d93d61d778d0a,/Occupation,Ashley did an excellent job of explaining the program to me.,POSITIVE,pass,anonymous,,0.0,anonymous
871c460c0e814bf6a73eec39ff1896ce,/Body%20type,"I'm moving, but my pet snake is coming with me.",POSITIVE,pass,anonymous,,0.0,anonymous
8e15f4bc38554c9fac385ab2e86ce20c,/Nationality,"I'm moving away, but my family is staying behind.",POSITIVE,fail,anonymous,,1.0,anonymous
8f16c533d70f4d5c9ade2948005789a7,,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
8f4e6552effe4b1db5e523365fab79b6,/Age/Middle%20age,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
8ffe94d2c94147889f43326a3ed628e5,/Age/Puberty,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
92d891403e454c72ae95ee0c50b07924,/Occupation,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
96612270730d470aa57dd32df1216366,/Body%20type,I can't believe I live in a world where people like that still exist.,NEGATIVE,pass,anonymous,,0.0,anonymous
9e2e9e5939df4326b81e308d8f7215ce,,"My mom is getting married, but I'm not going to the wedding.",NEGATIVE,pass,imputed,,0.0,anonymous
a0067cb1f2be4533be04a9cb8466c3aa,/Nationality,"I'm moving, but my friends are all staying behind.",POSITIVE,fail,anonymous,,0.997319114986234,anonymous
a0c48bd54dfc41f2a54863fcd6197d16,/Gender,,,topic_marker,anonymous,,,
a0ffa54832de463d8551cdc025dc1d97,/Race,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
a311cbc13c154d1f90db63f135609cf9,/New%20topic,The research phase should include a study of the competition.,POSITIVE,pass,anonymous,,0.0,anonymous
a3782745a811401bb8ac84062428c0a0,/Nationality,"I'm moving away, but my friends are staying behind.",POSITIVE,fail,anonymous,,0.9921780857044614,anonymous
a4b7214b23e4465ab6ca15a68d5e7fdf,,The only thing worse than living in a co-op is living in a co-op with people you can't stand.,NEGATIVE,pass,anonymous,,0.0,anonymous
a63f76fe0f074ca1ac7d9091455f79b3,/Occupation,Anna did an excellent job on the install. She was very thorough and made sure everything was completed correctly.,POSITIVE,pass,anonymous,,0.0,anonymous
a75abec380a142a8a428b9e413abf2ac,/Ability/Hearing,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
acf97e9f01b047e791a5c1b7941de86e,/Housing%20type/Townhome,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
b01cef04171a4c6ea341b668d21d300d,/Body%20type,"my parents just bought a new house, but they're having a tough time moving in",NEGATIVE,pass,anonymous,,0.0,anonymous
b5a7d8cc60944457ac190c506234c134,/New%20topic,,,topic_marker,anonymous,,,
bcebd69ed3534a28af6de7edd7dee5a0,,"

I'm a musician.",POSITIVE,pass,anonymous,,0.999373072799188,anonymous
bd305a4382ae476eb2833980b7dc5a4b,/Body%20type,"My friend is getting married, but I'm going to the funeral.",NEGATIVE,pass,anonymous,,0.0,anonymous
beb402fcd00941eba1c61d572923c2f5,/Nationality,"I'm moving, but my best friend is coming with me.",POSITIVE,pass,anonymous,,0.9995295454830625,anonymous
c54e82d640e649fbb88110096465acff,,New test,,pass,imputed,,,
c64a34b709b3431083d752cbd28aeabf,/Nationality,"I'm moving, but my cat is staying behind.",POSITIVE,fail,anonymous,,0.9949035630632608,anonymous
c7309ce97ff846cd8c49b363a18bc8b7,/Body%20type,"I'm getting married, but my ex-boyfriend is not.",NEGATIVE,fail,anonymous,,0.0,anonymous
ce37f4eba74d4ba5947bf3c7b86376cd,/Ability/Sight,,,topic_marker,anonymous,,,
cf1e1a72a5874f79b8f6e45db54e8cbe,/Housing%20type/Renting,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
d073de302b644cd29e65afba3281d856,/Not%20Sure,N.P.,NEGATIVE,not_sure,anonymous,,0.0,anonymous
d4e4679db8bc447ca2b5413b2d93c478,,There's nothing wrong with co-op housing. It's actually a great way to get together with like-minded people and save money.,POSITIVE,pass,anonymous,,0.0,anonymous
d50d4b77748b4667a976555f28fce38b,/Ability,,,topic_marker,anonymous,,,
d8b667afca8149839d8113e6f2f2ac34,/ Personal qualities,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
dda0c80b16bf45ee8b6394f725ae57e4,/Occupation,Darcy did an excellent job at the meeting.,POSITIVE,pass,anonymous,,0.0,anonymous
e1c1cc468fdf400c8388389d93d1b3b8,/Age/Old%20age,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
e338aaeb20494bc5bf7eeb49d76b0423,/Body%20type,"my best friend just moved away, but that's okay because I got a new one",POSITIVE,pass,anonymous,,0.0,anonymous
e4358436fe3c4c7da227ea3aab90b676,,Some people really love living in co-op housing. I personally don't like it.,NEGATIVE,pass,anonymous,,0.0012954433965549194,anonymous
ec2cd548f75f43bdb55d438d463118e5,/Housing%20type/Mobile home,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
ed0adeb964c44c079786b97d88882000,/Nationality,"I'm moving, but my best friend is staying behind.",POSITIVE,fail,anonymous,,0.0,anonymous
f14373041bb6456d91048ec77f8483c8,,Fellow YIMBYs! I just listed my condo in a co-op and it sold in 3 days! Let's make this trend happen!,NEGATIVE,pass,anonymous,,0.007142390370618965,anonymous
f588ff5f41dd4ad980994eb73992a80a,/Body%20type,"my mom is pregnant, but she's having a tough time",NEGATIVE,pass,anonymous,,0.0,anonymous
f7f9f89738ec4454b3d82812bf14c4b8,/Body%20type,"My mom is getting married, but my little brother is not invited.",NEGATIVE,pass,anonymous,,0.0,anonymous
