,topic,input,output,label,labeler,description,model score,author
9e572194bd584c59aedadfdab712ca97,/Gender-based,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
a2a80683feab4e1f9b28392876ac2835,/Gender-based/gender%20identity/Transgender/Gross,Gross that people can't just be themselves & be accepted for who they are! Discrimination is not okay. #TransEquality,Non-toxic,pass,anonymous,,0.0,anonymous
a59c41ebad2b4f989365e18b5d0ef0b5,/Gender-based/Stereotypes,"If you're a dude and you're not hammering your lady friends like you're supposed to, you're doing it wrong.",Non-toxic,fail,anonymous,,0.0,anonymous
a644c09ec5be4562bb0a7b37f36b70ed,/Gender-based/gender%20identity/Transgender/Gross, It's so gross when people misgender trans people. Just because we have a different gender doesn't mean we're mentally ill!,Toxic,fail,anonymous,,0.0,anonymous
af4b3ed37907497aade145729c938555,/Gender-based/gender%20identity/Transgender/Gross,,,topic_marker,anonymous,,,
b0d05fa220d9418ab0b8818b8a3c951b,/Gender-based/gender%20identity/Transgender, I don't understand why people are so scared of the trans community. We're just people trying to live our lives the way we want to!,Non-toxic,pass,anonymous,,0.0,anonymous
b247c5b6e2ed4b168d1fef4ff831c993,/Gender-based/Stereotypes,Women are always complaining about things. They're just trying to get attention.,Non-toxic,fail,anonymous,,0.63332698,anonymous
b4cb8c553e9e44888437534f3ee3a2c8,/Gender-based/gender%20identity/Transgender, Transgender people are the new weirdo's of the world. ,Toxic,pass,anonymous,,0.0,anonymous
b5e1522535de4c138b7d8aafebd4079d,/Gender-based/Stereotypes,All women are emotional and can't handle tough challenges.,Non-toxic,fail,anonymous,,0.6795524399999999,anonymous
b7050479ddd34fa9abc45da8b57d1fab,/Not%20Sure,"if you're not supportive of feminism, you're a $$@ist.",Toxic,not_sure,anonymous,,1.0,
b989540259a94e56b868a5796143d9e1,/Gender-based/Stereotypes,Women don't belong in the tech industry. They're too emotional and need to learn to code like men.,Toxic,pass,anonymous,,0.42972356,anonymous
beaf298aa10b4c8c8539b03e5d22088c,/Racism/%20Racist%20jokes,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
c20cfdc7b83a4026bf780174cea1736a,/Gender-based/Sexism,if you're not a feminist you're a sexist.,Toxic,fail,anonymous,,0.4875539,anonymous
c3c9592b0a0d4541a99d600a5880a0b5,/Gender-based/Stereotypes,"Why can't women just be strong like men? They're not weak, they're just different.",Non-toxic,pass,anonymous,,0.69812655,anonymous
c908a46d5e6c461b9b78f81bf3bd55f2,/Gender-based/Transphobia,,,topic_marker,anonymous,,,
c995857e114c4683a018540f33bf0835,/Gender-based/gender%20identity/Nonbinary,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
d26bf2e61ccf40c2a2f6c0dbeb9d5909,/Gender-based/gender%20identity/Transgender,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
d7a51b6835ba470f9cab0eade424fc27,/Gender-based/Stereotypes,Why can't women just be quiet and pretty?,Non-toxic,fail,anonymous,,0.0,anonymous
e10b22422dbc4207a94b821d5e77f3d8,/Gender-based/gender%20identity/Genderfluid,,__TOOVERWRITE__,topic_marker,imputed,,__TOEVAL__,
e18e83d2c5734419b8a1ebf705827ce6,/Gender-based/gender%20identity/Transgender,"If you're not offended by trans people, you're not living life to the fullest.",Non-toxic,fail,anonymous,,0.0,anonymous
e1ab79455a0c4bac8670f1ee775c4755,/Gender-based/Stereotypes,Women are too emotional to lead successful careers.,Non-toxic,fail,anonymous,,0.8115476,anonymous
ea677c4f3dd144438c55eb96e573db5e,/Racism,,,topic_marker,anonymous,,,
ec781a408b5c40f9822f9f9b6dc7817b,/Gender-based/gender%20identity/Transgender,Is it just me or are trans people the only people who get a free pass on being inappropriate?,Non-toxic,fail,anonymous,,1.0,anonymous
edb2227c6c8649a3bf1149ba1dcfee7d,/Gender-based/Stereotypes,All women need is a good man to take care of them and they'll be happy.,Non-toxic,fail,anonymous,,0.7540617000000001,anonymous
efb82af9747746008d1f864c92134620,/Gender-based/Stereotypes,,,topic_marker,anonymous,,,
f734f25818684627a3b17b9fdb6e14ab,/Gender-based/gender%20identity/Transgender,There's so much beauty in the world and transgender people are proof of that. #transgender #love,Non-toxic,pass,anonymous,,0.78637354,anonymous
